candidate_C,compression_ratio,condition,family,label_entropy,macro_recoverability_mixing_rate,macro_viability_mixing_rate,mean_fiber_size,num_macro_labels,num_micro_states,pair_id,singleton_fraction,trap_mixing_rate,world_id,world_seed
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,0,1.0,0.0,A_0_irreversible,0
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,0,0.0,1.0,A_0_irreversible,0
random_k,0.02292768959435626,irreversible,A,2.5580056167669105,0.9230769230769231,1.0,43.61538461538461,13,567,0,0.0,1.0,A_0_irreversible,0
checkerboard,0.003527336860670194,irreversible,A,0.6930709707288083,1.0,1.0,283.5,2,567,0,0.0,1.0,A_0_irreversible,0
trap_mixing_adversarial,0.005291005291005291,irreversible,A,0.7508027480806755,1.0,1.0,189.0,3,567,0,0.0,0.6666666666666666,A_0_irreversible,0
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,0,0.0,1.0,A_0_irreversible,0
best_of_10_hashes_per_world,0.09700176366843033,irreversible,A,3.9598003485367297,0.5818181818181818,0.6545454545454545,10.309090909090909,55,567,0,0.0,0.7090909090909091,A_0_irreversible,0
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.08545856553304,0.4,0.4,113.4,5,567,0,0.0,0.4,A_0_irreversible,0
behavioral_quotient_k8,0.014109347442680775,irreversible,A,1.523803880737962,0.375,0.25,70.875,8,567,0,0.0,0.125,A_0_irreversible,0
behavioral_quotient_k13,0.02292768959435626,irreversible,A,2.0419305657377382,0.3076923076923077,0.23076923076923078,43.61538461538461,13,567,0,0.0,0.23076923076923078,A_0_irreversible,0
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.0896898622433826,0.2,0.4,113.4,5,567,0,0.0,0.4,A_0_irreversible,0
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.5591793074696745,0.25,0.375,70.875,8,567,0,0.0,0.25,A_0_irreversible,0
predictive_quotient_k13,0.02292768959435626,irreversible,A,2.0485105251917237,0.07692307692307693,0.15384615384615385,43.61538461538461,13,567,0,0.0,0.15384615384615385,A_0_irreversible,0
viability_signature,0.026455026455026454,irreversible,A,1.876719090011543,0.0,0.13333333333333333,37.8,15,567,0,0.0,0.2,A_0_irreversible,0
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,0,1.0,0.0,A_0_reversible,0
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,0,0.0,1.0,A_0_reversible,0
random_k,0.02292768959435626,reversible,A,2.5580056167669105,1.0,1.0,43.61538461538461,13,567,0,0.0,1.0,A_0_reversible,0
checkerboard,0.003527336860670194,reversible,A,0.6930709707288083,1.0,1.0,283.5,2,567,0,0.0,1.0,A_0_reversible,0
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.9861038439995189,1.0,1.0,141.75,4,567,0,0.0,0.5,A_0_reversible,0
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,0,0.0,1.0,A_0_reversible,0
best_of_10_hashes_per_world,0.09700176366843033,reversible,A,3.9598003485367297,0.6363636363636364,0.7272727272727273,10.309090909090909,55,567,0,0.0,0.7454545454545455,A_0_reversible,0
behavioral_quotient_k5,0.008818342151675485,reversible,A,1.1071531315671765,0.4,0.4,113.4,5,567,0,0.0,0.2,A_0_reversible,0
behavioral_quotient_k8,0.014109347442680775,reversible,A,1.6550861600922104,0.125,0.25,70.875,8,567,0,0.0,0.125,A_0_reversible,0
behavioral_quotient_k13,0.02292768959435626,reversible,A,2.2212398524049224,0.07692307692307693,0.23076923076923078,43.61538461538461,13,567,0,0.0,0.07692307692307693,A_0_reversible,0
predictive_quotient_k5,0.008818342151675485,reversible,A,1.1032549906325182,0.4,0.4,113.4,5,567,0,0.0,0.2,A_0_reversible,0
predictive_quotient_k8,0.014109347442680775,reversible,A,1.5874715432107491,0.125,0.25,70.875,8,567,0,0.0,0.125,A_0_reversible,0
predictive_quotient_k13,0.02292768959435626,reversible,A,2.3260898821351357,0.0,0.3076923076923077,43.61538461538461,13,567,0,0.0,0.23076923076923078,A_0_reversible,0
